Date,Open,High,Low,Close,Volume,MACD,RSI SMA,RSI EWMA,Daily Change,5 Day Change
2015-11-03,120.790001,123.489998,120.699997,122.57,45519000,2.259128126,163.2953534,147.5389424,0.01147054,0.070013067
2015-11-04,123.129997,123.82,121.620003,122,44886100,2.421836063,174.3931977,171.2786381,-0.004650404,0.022889269
2015-11-05,121.849998,122.690002,120.18,120.919998,39552700,2.435560515,233.0258793,273.0070344,-0.008852475,0.003235701
2015-11-06,121.110001,121.809998,120.620003,121.059998,33042300,2.429725706,464.1421498,258.1271645,0.00115779,0.013054377
2015-11-09,120.959999,121.809998,120.050003,120.57,33871400,2.358376933,173.7238991,408.3765004,-0.004047563,-0.005033834
2015-11-10,116.900002,118.07,116.059998,116.769997,59127900,1.972466664,413.9649026,-90.40480392,-0.031516986,-0.047319923
2015-11-11,116.370003,117.419998,115.209999,116.110001,45218000,1.594987808,-141.4559386,-71.79127803,-0.005652103,-0.04827868
2015-11-12,116.260002,116.82,115.650002,115.720001,32525600,1.249954655,-66.73599448,-62.49785454,-0.003358884,-0.043003615
2015-11-13,115.199997,115.57,112.269997,112.339996,45812400,0.69575501,-44.83237719,-26.35684159,-0.029208477,-0.072030416
2015-11-16,111.379997,114.239998,111,114.18,38106700,0.400405122,-48.14291429,-105.3772134,0.016378886,-0.052998258
2015-11-17,114.919998,115.050003,113.32,113.690002,27616900,0.125354456,-22.29734736,-87.5555,-0.004291452,-0.026376596
2015-11-18,115.760002,117.489998,115.5,117.290001,46674700,0.195609787,-118.4714264,461.6144368,0.031665045,0.010162777
2015-11-19,117.639999,119.75,116.760002,118.779999,43295800,0.367284205,-330.3740329,245.7424082,0.012703538,0.026443121
2015-11-20,119.199997,119.919998,118.849998,119.300003,34287100,0.53908318,-423.2969412,216.1629932,0.004377875,0.061954845
2015-11-23,119.269997,119.730003,117.339996,117.75,32482500,0.543893156,-264.1845745,829.4831486,-0.012992481,0.031266421
2015-11-24,117.330002,119.349998,117.120003,118.879997,42803200,0.631605653,406.6351659,306.7614978,0.009596577,0.045650408
2015-11-25,119.209999,119.230003,117.919998,118.029999,21388300,0.625322378,446.8755697,899.0362395,-0.007150051,0.006309131
2015-11-27,118.290001,118.410004,117.599998,117.809998,13046400,0.595723465,410.5270008,2309.794752,-0.001863941,-0.008166366
2015-11-30,117.989998,119.410004,117.75,118.300003,39180300,0.60483328,152.1811468,519.1800712,0.004159282,-0.008382229
